CourseID,Category,FullTitle,Short_Title,ShortDesc,Overview,Badges,Cross_Sell_Courses,ImageURL,Learner_Count,AccreditationLogo,Why_This_Course,Module_List,Success_Steps,PreRequisites,Certification_Criteria
icp-acc,Coaching,"ICAgile Agile Coaching Certification (ICP-ACC) Training","Become a Certified Agile Coach","Accelerate your career with ICAgile’s ICP-ACC Certification Training. Join live instructor-led Agile Coaching classes, engage in hands-on simulations, and earn your globally recognized certification to unlock new opportunities as a professional Agile Coach.","18 hours of intensive live ICAgile Agile Coaching training delivered through activity-based learning and real-world simulations. Covers coaching mindset, facilitation, mentoring, professional coaching skills and organizational transformation. Participants develop foundational and advanced team coaching capabilities and complete ongoing assessment with a final practical evaluation aligned to ICAgile learning objectives.","ICAgile|Agile Coaching|Coaching Track|Live Training|18 Hours","icp-atf|icp-cat|icp-ent|icp-lea|icp-sys",assets/icp-acc.png,18000,ICAgile,"Develop coaching mindset|Master facilitation and mentoring skills|Enable high-performing teams|Drive Agile transformations|Earn globally recognized certification","Development Path for Agile Coaching|Agile Coaching Mindset|Coaching Stance and Competency Framework|Professional Coaching Skills|Coaching Conversation for Action|Mentoring & Teaching Skills|Team Development|Conflict Management|Organizational Change|Agile Coach Growth Path","Attend Live Sessions|Active Participate in Simulations|Receive ICP-ACC Certification","No conditional pre-requisites. Intermediate level course; participants should have some work experience in at least one agile framework.","Accredited by ICAgile. Includes ongoing assessment throughout the class and a final practical assessment to earn certification."
icp-atf,Coaching,"ICAgile Agile Team Facilitation Certification (ICP-ATF) Training", "Master Facilitation Skills","Elevate your impact as an Agile practitioner with ICAgile’s ICP-ATF Certification! Join live, instructor-led sessions, participate in practical exercises, and earn a globally recognized credential to become a skilled Agile facilitator.","14 hours of intensive, live ICAgile Agile Team Facilitation training. ICP-ATF focuses primarily on the mindset and role of an agile team facilitator, providing group facilitation tools and techniques for effectively designing meetings and workshops that engage the entire audience and drive towards agreed-upon outcomes.","ICAgile|Agile Facilitation|Coaching Track|Live Training|14 Hours","icp-acc|icp-ent|icp-cat|ai-scrum",assets/icp-atf.png,12400,ICAgile,"Master the facilitator mindset|Learn techniques for workshops and retrospectives|Foster collaboration and self-organizing teams|Build a comprehensive facilitator toolkit|Designed using brain-based adult learning techniques","Development Path for Agile Coaching|Agile Team Facilitation Mindset|Foundational Facilitation Skills|Conducting a Facilitated Session|Facilitating Collaborative Meetings|Liberating Structures|Skillfully Facilitating Agile Practices|Practicing Facilitation Skills","Attend Live Sessions|Active Participate in Simulations|Receive ICP-ATF Certification","No conditional pre-requisites. Intermediate level course; participants should have some work experience in at least one agile framework.","Accredited by ICAgile. Includes ongoing assessment throughout the class and a final practical assessment to earn certification."
icp-sys,Coaching,"ICAgile Systems Coaching (ICP-SYS) Training", "Transform organizations with Systems Coaching","Expand your coaching beyond individuals and teams with ICAgile’s ICP-SYS Certification! This program equips Agile coaches, leaders, and change agents with the skills to see, understand, and intervene at the systems level.","14 hours of immersive, live training. The ICAgile Systems Coaching Certification (ICP-SYS) focuses on systems thinking, systemic coaching techniques, and the ability to understand and influence the dynamics within complex organizations.","ICAgile|Systems Coaching|Coaching Track|Live Training|14 Hours","icp-ent|icp-cat|ai-trans",assets/icp-sys.png,4200,ICAgile,"Spot patterns, dynamics, and leverage points|Analyze interconnectedness of teams and structures|Address systemic challenges|Build facilitation skills for large groups|Enhance Agile leadership in complex systems","Defining Systems|Systems Thinking|Working with Complex Adaptive Systems|What is Systems Coaching?|System as a Client|Creating the Container|Creating Awareness|Creating Alignment|Moving Forward into Action|Facilitation for Systems Coaches|Professional Coaching for Systems Coaches|Ethical Considerations|Personal Bias|Developing Coaching Range|Co-coaching","Attend Live Sessions|Active Participate in Simulations|Receive ICP-SYS Certification","No conditional pre-requisites. Intermediate level course; participants should have some work experience in at least one agile framework.","Accredited by ICAgile. Includes ongoing assessment throughout the class and a final practical assessment to earn certification."
icp,Foundations,"ICAgile Agile Fundamentals (ICP) Training", "Build a Strong Foundation in Agile","Start your Agile journey with ICAgile’s ICP Certification. This entry-level program introduces the values, principles, and foundational practices of Agile. Whether you’re new to Agile or transitioning from traditional ways of working, this course gives you the mindset and tools to collaborate effectively, deliver iteratively, and embrace continuous improvement in any environment.","14 hours of immersive, live instructor-led Agile Fundamentals training. Agile fundamentals (ICP) is an industry-recognized credential that demonstrates an understanding of the agile mindset, values, principles, and foundational concepts without specific focus on any single agile methodology or framework.","ICAgile|Agile Fundamentals|Foundations Track|Live Training|14 Hours","icp-acc|icp-atf|icp-baf",assets/icp.png,25000,ICAgile,"Covers Agile values and core frameworks|Hands-on activities for iterative delivery|Learn the difference between doing and being Agile|Designed using brain-based adult learning|Gateway to product and technical certifications","Origins of Agile|Agile Manifesto|Agile Beyond Software Development|Understanding the Agile Mindset|Establishing the Agile Mindset|Agile in Context (As a Journey)|Developing Soft Skills|Understanding Communication Barriers|Sharing Knowledge|Physical Work Environments|Collaboration Techniques|Techniques for Shared Understanding|Shifts in Roles|Incremental Development|Value-Based Work|Retaining Quality|Work-in-Progress (WIP)|Continuous Integration|Cost & Benefit of Frequent Delivery|Defining the Customer|User Involvement|User Feedback|Planning|Estimation|Status|Process Adaptation|Product Adaptation","Attend Live Sessions|Active Participate in Simulations|Receive ICP Certification","No conditional pre-requisites. Intermediate level course; participants should have some work experience in at least one agile framework.","Accredited by ICAgile. Includes ongoing assessment throughout the class and a final practical assessment to earn certification."
icp-baf,Foundations,"ICAgile Business Agility Foundations (ICP-BAF) Training", "Build Agility Beyond IT","Discover what it takes to thrive in the age of disruption with ICAgile’s ICP-BAF Certification. This course provides leaders, change agents, and professionals with the mindset and skills to embrace business agility. Learn how to respond to change rapidly, align strategy with execution, and foster a culture of continuous learning that drives sustainable success across the enterprise.","14 hours of immersive, live instructor-led Agile Fundamentals training. Business Agility enabled people at every role in today’s organizations are required to focus on customer delight, and bring innovation and continuous improvement into their work. This highly experiential set of learning outcomes equips participants with new knowledge, tools, and techniques to jumpstart the organizational and individual transformation towards a more responsive, value-driven reality.","ICAgile|Business Agility|Foundations Track|Live Training|14 Hours","icp|icp-acc|icp-lea",assets/icp-baf.png,15000,ICAgile,"Learn the mindset and principles behind enterprise agility|Explore customer-centricity and adaptive strategy|Hands-on activities and case studies for real-world application|Designed using research-backed brain-based adult learning|Jumpstart organizational and individual transformation","SETTING THE SCENE FOR BUSINESS AGILITY|Awareness: The Need for Business Agility|Compelling Vision, Focus, and Clarity of Purpose|ENABLING BUSINESS AGILITY|New Ways of Thinking|New and Differentiating Behaviors|IMPLEMENTING AND SUSTAINING BUSINESS AGILITY|Frameworks, Tools, and Techniques|Business Agility as the New Normal","Attend Live Sessions|Active Participate in Simulations|Receive ICP-BAF Certification","No conditional pre-requisites. Intermediate level course; participants should have some work experience in at least one agile framework.","Accredited by ICAgile. Includes ongoing assessment throughout the class and a final practical assessment to earn certification."
icp-fai,Artificial Intelligence,"ICAgile Foundations of AI (ICP-FAI) Training", "Build AI Literacy for Teams and Enterprises","Step into the world of Artificial Intelligence with ICAgile’s ICP-FAI Certification. This course covers a solid understanding of AI concepts, capabilities, and ethical considerations. Learn how AI impacts organizations, teams, and customers equipping you to engage confidently in AI-powered transformations and make responsible, value-driven decisions.","14 hours of immersive, live instructor-led training. The ICAgile Foundations of AI (ICP-FAI) Certification is a professional certificate course designed to help individuals understand and apply artificial intelligence (AI) concepts in both professional and personal settings. The course covers the history and evolution of AI and machine learning, practical prompt engineering techniques, ethical considerations, and how to align AI with agile business strategies.","ICAgile|Foundations of AI|Foundations Track|Live Training|14 Hours","icp|icp-baf|icp-acc",assets/icp-fai.png,8500,ICAgile,"Comprehensive AI Foundations|In-depth Prompt Engineering tutorials|Explore Ethical AI Use and biases|Agile and AI Integration|Business Value Alignment and strategic goals|Hands-on Learning with real-world case studies","Understanding AI|Pieces of the AI Puzzle|Evolving State of AI|Ethics in the Context of AI|The Inherent Bias of AI|Data Compliance and Privacy|Introduction to Prompt Engineering|Effective prompts|All Prompts are Not Created Equal|Agile Mindset and AI|Cross-Functional Teams and AI|Business Value of AI|Align AI With Strategy|AI Initiatives in the Real World","Attend Live Sessions|Active Participate in Simulations|Receive ICP-FAI Certification","No conditional pre-requisites. Intermediate level course; participants should have some work experience in at least one agile framework.","Accredited by ICAgile. Includes ongoing assessment throughout the class and a final practical assessment to earn certification."
icp-cat,Coaching,"ICAgile Coaching Agile Transformations Certification (ICP-CAT) Training", "Lead Enterprise Change","Step up from team coaching to lead organizational change. ICAgile’s ICP-CAT trains experienced coaches and leaders to advise executives, shape culture, and guide company-wide Agile transformations. Delivered as an intensive, activity-based workshop, ICP-CAT is a globally recognized, advanced credential for professionals driving enterprise agility.","16 hours of intensive, live training. Coaching Agile Transformations is one of ICAgile’s most advanced knowledge-based certifications. The ICP-CAT validates knowledge of how to coach leadership and culture change in support of achieving business agility. Step into the role of an Enterprise Agile Coach, engage in real-world transformation simulations, and gain the skills to guide leaders and organizations through large-scale Agile change.","ICAgile|Agile Transformations|Coaching Track|Live Training|16 Hours","icp-ent|icp-sys|icp-acc",assets/icp-cat.png,14500,ICAgile,"Learn to launch organizational culture and design transformation strategies|Hands-on activities from real enterprise transformations|Designed using research-backed brain-based adult learning|Attended by Enterprise Agile Coaches and senior leaders|Advanced credential for professionals driving enterprise agility","Leadership Styles and Organizational Culture|Enterprise Agile Coaching Skills|Leadership Styles and Development|Organizational Culture and Alignment|Organizational Culture Models|Approaches to Culture Assessment|Organization and Human Change Processes|Business Case for Change|Human Change Process|Organizational Change Process|Bringing an Agile Mindset to Change|Agile Transition and Transformation Change Strategies|Organizational Assessments|Strategy and Contract for Change|Organizational Impediments to Change|Communicating at an Organizational Level|Coaching and Advising Leaders|Enterprise Agile Coaching 'Contract'|Professional Coaching|Trusted Advisor|Engaging Leadership in Conversation about Culture|Self-Mastery, Professional Development and Ethics|Learning Journeys and Professional Development|Personal and Professional Mastery|Ethical Considerations of Enterprise Agile Coaching","Attend Live Sessions|Active Participate in Simulations|Receive ICP-CAT Certification","No conditional pre-requisites. Intermediate level course; participants should have some work experience in at least one agile framework.","Accredited by ICAgile. Includes ongoing assessment throughout the class and a final practical assessment to earn certification."
icp-ent,Coaching,"ICAgile Enterprise Agile Coaching Certification (ICP-ENT) Training", "Master Enterprise Transformation","Advance your career as an Enterprise Agile Coach with ICAgile’s ICP-ENT Certification! Join live, instructor-led classes, explore real-world case studies, and gain the skills to coach leaders and design strategies for successful enterprise-wide Agile transformation.","14 hours of immersive, live ICAgile Enterprise Agile Coaching training. Enterprise Agile Coaching is one of ICAgile’s most advanced knowledge-based certifications, that validates an understanding of enterprise agile coaching skills needed to enable organizational structure and process improvements in support of achieving business agility.","ICAgile|Enterprise Agile Coaching|Coaching Track|Live Training|14 Hours","icp-cat|icp-sys|icp-acc",assets/icp-ent.png,11200,ICAgile,"Hands-on activities with organizational case studies|Learn leadership engagement, culture change, and org design|Designed using research-backed brain-based adult learning|Attended by Enterprise Agile Coaches and senior leaders|Validates an understanding of enterprise agile coaching skills","Business Agility is the Goal|Business Agility|Systems and Complexity Theory|Enterprise Coaching Enables Business Agility|Enterprise Agile Coaching Skills|Ethical Considerations of Enterprise Agile Coaching|Organization Design and Structure|Organization Systems Entry|Scaling Agile Frameworks for the Organization|Coaching the Organization|Systems Coaching complements Enterprise Agile Coaching|Consulting vs Professional Coaching|Facilitating the Organization|Boundary Spanning Facilitation Considerations|Boundary Spanning Facilitation Techniques|Awareness of Organizational Structure and Design|Business Process and Improvement","Attend Live Sessions|Active Participate in Simulations|Receive ICP-ENT Certification","No conditional pre-requisites. Intermediate level course; participants should have some work experience in at least one agile framework.","Accredited by ICAgile. Includes ongoing assessment throughout the class and a final practical assessment to earn certification."
icp-lea,"HR and Leadership","ICAgile Certified Agile Leadership (ICP-LEA) Training", "Lead with Agility","Unlock your leadership potential with ICAgile’s ICP-LEA Certification! This course equips leaders and change agents with the mindset, skills, and practices to foster a culture of agility and guide organizations through complex change. Join live, instructor-led sessions and earn a globally recognized credential in Agile leadership.","14 hours of live, immersive Agile Leadership training. Agile leadership is a leadership style that emphasizes flexibility, collaboration, and responsiveness to change. It is about creating an environment where teams can thrive, respond to change, and deliver value quickly and efficiently. Our training is designed using research-backed brain-based adult learning techniques.","ICAgile|Agile Leadership|HR and Leadership Track|Live Training|14 Hours","icp-pdv|icp-org|icp-ent",assets/icp-lea.png,12500,ICAgile,"Develop self-awareness and adaptive leadership skills|Shape culture and empower teams|Lead organizational change|Foster a culture of agility|Designed using brain-based adult learning techniques","New Organizational and Leadership Capabilities we need today|Behaviors that Increase Agility|Developing Self as Instrument|Developing Self as Leader|Introduction to EQ: Social Context Exercising Agility in Key Conversations|Organizational Transformation and Agility|Leading Change and Transformation","Attend Live Sessions|Active Participate in Simulations|Receive ICP-LEA Certification","No conditional pre-requisites. Intermediate level course; participants should have some work experience in at least one agile framework.","Accredited by ICAgile. Includes ongoing assessment throughout the class and a final practical assessment to earn certification."
icp-pdv,"HR and Leadership","ICAgile People Development Certification (ICP-PDV) Training", "Grow People, Grow Organizations","Elevate your ability to unlock human potential with ICAgile’s ICP-PDV Certification! This course empowers managers, leaders, and coaches to create growth-oriented environments where individuals and teams thrive.","14 hours of live, experiential People Development training. People development is the process of providing individuals with the tools, knowledge, and skills they need to improve their performance and achieve their career goals. Agile leaders and managers need to encourage and enable growth while modeling an agile mindset.","ICAgile|People Development|HR and Leadership Track|Live Training|14 Hours","icp-lea|icp-org|icp-acc",assets/icp-pdv.png,9800,ICAgile,"Practical frameworks for coaching and mentoring|Foster a culture of continuous learning|Build skills in feedback and career growth|Increase job satisfaction and engagement|Enhance teamwork and collaboration","Recognizing people development as fundamental for business agility|Developing Yourself as it Relates to Developing Others|Leading to Elevate Organizational Capability|Considerations for Individual Development|Mentoring and coaching|Job shadowing and job rotations|Performance feedback and goal setting|Honoring Diverse Experiences, Knowledge, and Backgrounds","Attend Live Sessions|Active Participate in Simulations|Receive ICP-PDV Certification","No conditional pre-requisites. Intermediate level course; participants should have some work experience in at least one agile framework.","Accredited by ICAgile. Includes ongoing assessment throughout the class and a final practical assessment to earn certification."
