CourseID,Category,FullTitle,Short_Title,ShortDesc,Overview,Badges,Cross_Sell_Courses,ImageURL,Learner_Count,AccreditationLogo,Why_This_Course,Module_List,Success_Steps,PreRequisites,Certification_Criteria
icp-org,"HR and Leadership","ICAgile Adaptive Organization Design (ICP-ORG) Training", "Build Agile, Resilient Enterprises","Redesign the way organizations work with ICAgile’s ICP-ORG Certification! This course equips leaders, coaches, and change agents with the skills to create structures, roles, and systems that support true business agility.","14 hours of immersive, live ICAgile Adaptive Organization Design training. Adaptive org design is an approach to structuring and managing organizations that emphasizes flexibility, responsiveness, and agility. It is based on the idea that organizations need to be able to adapt quickly to changing business environments and customer needs to remain competitive.","ICAgile|Adaptive Org Design|HR and Leadership Track|Live Training|14 Hours","icp-lea|icp-pdv|icp-ent",assets/icp-org.png,8200,ICAgile,"Practical exercises in team design and value streams|Learn organization design principles for agility|Prioritize cross-functional teams and distributed decision-making|Foster continuous learning and flexible processes|Data-driven decision-making","Why Adaptive Organizations Matter|Shifting Behaviors and Approaches in the Organization|Defined Focus|Dynamic Teams|Agency, Autonomy, and Accountability|Understanding Organizations as Networks|Creating Shared Understanding|The Journey to Adaptivity","Attend Live Sessions|Active Participate in Simulations|Receive ICP-ORG Certification","No conditional pre-requisites. Intermediate level course; participants should have some work experience in at least one agile framework.","Accredited by ICAgile. Includes ongoing assessment throughout the class and a final practical assessment to earn certification."
icp-lpm,"Project & Portfolio","ICAgile Lean Portfolio Management (ICP-LPM) Training", "Align Strategy to Execution","Transform the way your organization delivers value with ICAgile’s ICP-LPM Certification. This course equips leaders, portfolio managers, and change agents with the mindset and tools to connect strategy with execution, optimize investment decisions, and foster adaptive governance in Agile enterprises.","14 hours of immersive, live instructor-led LPM Training. Lean Portfolio Management (LPM) is an approach to managing multiple teams and products / portfolios within an organization to ensure alignment with strategic goals and objectives. LPM applies the principles of Lean and Agile methodologies to portfolio management to enable organizations to deliver value faster and more efficiently.","ICAgile|Lean Portfolio Management|Project & Portfolio Track|Live Training|14 Hours","icp-apm|icp-ent|icp-org",assets/icp-lpm.png,10500,ICAgile,"Learn portfolio visioning, funding models, and adaptive governance|Hands-on exercises for portfolio mapping, value stream alignment, and metrics|Gain skills to balance investment, manage risks, and optimize delivery flow|Globally recognized credential for portfolio leaders and enterprise change agents","Define Lean Portfolio Management for Business Agility|Why the Shift to LPM is Necessary for Business Agility|Principles of LPM for Business Agility|LPM Supports Adaptive Strategy|Understanding Strategy for Complex Adaptive Organizations|Shorter Funding Cycles Enable Faster Adaptation|Being Responsible Stewards of Funds and Other Resources|Governing the Portfolio|Managing Risks, Conflict and Variances|LPM Metrics and Measurement|Relationship Between Org Design and Portfolio Management|Project to Product based Structures|Where LPM Links into Other Organizational Practices|Portfolio Kanban for Transparency and Communication|Types of Portfolios in Business Agility|Portfolio Anti-Patterns|Collaboration Events|Creating Visibility for the Portfolio|Portfolio Roadmap|Managing Portfolio Intake|Limit WIP and Plan to the Available Capacity|Prioritization of Work|The Fundamentals of Portfolio Planning|Continuously Learn and Adapt","Attend Live Sessions|Active Participate in Simulations|Receive ICP-LPM Certification","No conditional pre-requisites. Intermediate level course; participants should have some work experience in at least one agile framework.","Accredited by ICAgile. Includes ongoing assessment throughout the class and a final practical assessment to earn certification."
icp-apm,"Project & Portfolio","ICAgile Agile Project & Delivery Management (ICP-APM) Training", "Lead Agile Projects with Confidence","Strengthen your ability to deliver value predictably and sustainably with ICAgile’s ICP-APM Certification! This course equips project managers, delivery leads, and aspiring Agile leaders with the skills to balance delivery, adaptability, and customer focus.","14 hours of immersive, live training. The ICAgile Agile Project and Delivery Management (ICP-APM) certification is a professional certification designed for individuals involved in managing projects and deliveries within an Agile environment. It is part of the ICAgile Delivery Management track and focuses on equipping project managers, delivery managers, and team leads with the skills necessary to facilitate and lead Agile delivery effectively.","ICAgile|Agile Project Management|Project & Portfolio Track|Live Training|14 Hours","icp-lpm|icp-acc|icp-lea",assets/icp-apm.png,11800,ICAgile,"Practical frameworks for delivery planning, stakeholder engagement, and value tracking|Learn adaptive planning, metrics, governance, and risk management in an Agile context|Build skills to empower teams and deliver outcomes, not just outputs|Globally recognized credential for project managers, delivery leads, and Agile professionals","Delivery in Complex Environments|Identification and Articulation of Different Delivery Modes|Applying Different Delivery Modes|Manager Role Change|Management Process Adaptation|Manage Delivery and the System, not People|Metrics that Matter for System Optimization|Identifying Dependencies and Blockers at the Team/Initiative Level|Working with Governance, Audit and Compliance in Agile Environments|Agile Contracting, Procurement and Outsourcing|Create a Safe Team Environment|Moving from Individual Accountability to Team Accountability|Leading by Example|Models of Team Formation|Effective Communication Within, Across and Outside the Team|Enabling and Supporting Rapid Feedback and Learning|Relating Value and Scope|Creating a Workable Value Definition|Validating Value Delivered|Outcomes Over Outputs|Incremental Value Delivery|Optimizing the Whole|Embracing Risk — Both Positive and Negative|The Role of Constraints in an Agile Context|Using Risks and Constraints Creatively|Defining Adaptive Planning|Chartering as a Way of Aligning|Doing Adaptive Planning|Updating Plans Based on Feedback|Transparency About Progress|Visualization and Feedback Loops|Engaging with Stakeholders","Attend Live Sessions|Active Participate in Simulations|Receive ICP-APM Certification","No conditional pre-requisites. Intermediate level course; participants should have some work experience in at least one agile framework.","Accredited by ICAgile. Includes ongoing assessment throughout the class and a final practical assessment to earn certification."
icp-apo,Product,"ICAgile Agile Product Ownership (ICP-APO) Training", "Become a Value-Driven Product Owner","Master the art of product ownership with ICAgile’s ICP-APO Certification! This program equips aspiring and current Product Owners, Business Analysts, and Product Managers with the mindset and tools to maximize value delivery.","14 hours of immersive, live instructor-led training. An Agile Product Owner (APO) is responsible for defining, prioritizing, and communicating the product vision. This course covers the mix of strategic thinking and communication skills required to ensure the product meets customer needs and delivers business value.","ICAgile|Product Ownership|Product Track|Live Training|14 Hours","icp-pdm|icp-apm|icp-baf",assets/icp-apo.png,15600,ICAgile,"Practical techniques for backlog management and prioritization|Learn value-driven product thinking|Customer-centric design approaches|Build skills in product strategy and roadmaps|Designed using research-backed brain-based adult learning","PRODUCT OWNERSHIP AS AN AGILE DISCIPLINE AND CRAFT|Product Ownership Maximizes Value|Role Scope and Diversity|SKILLS AND BEHAVIORS FOR Agile Product Ownership AND PRODUCT OWNERSHIP|Thinking Skills|Behaviors|SEEKING VALUE|Determining Value in the Initiative|Communicating Value|THE DISCOVERY PROCESS|Understanding Stakeholders|Analyze To Determine Value|Exploring the Solution|THE CONTINUOUS DISCOVERY OF VALUE|Managing Artifacts|Enabling Valuable Delivery","Attend Live Sessions|Active Participate in Simulations|Receive ICP-APO Certification","No conditional pre-requisites. Intermediate level course; participants should have some work experience in at least one agile framework.","Accredited by ICAgile. Includes ongoing assessment throughout the class and a final practical assessment to earn certification."
icp-pdm,Product,"ICAgile Product Management (ICP-PDM) Training", "Become a Strategic Product Leader","Take your product leadership skills to the next level with ICAgile’s ICP-PDM Certification. This program is designed for Product Managers, Product Owners, and business leaders who want to learn how to define product strategy, validate ideas, and drive outcomes that deliver real business value.","14 hours of immersive, live instructor-led training. Product management involves identifying customer needs, prioritizing features, and creating roadmaps. This course focuses on discovery, validation, and outcome-driven planning to ensure products deliver real business value across the lifecycle.","ICAgile|Product Management|Product Track|Live Training|14 Hours","icp-apo|icp-lpm|icp-cat",assets/icp-pdm.png,9200,ICAgile,"Learn product discovery and validation|Build strong product strategies and measurable roadmaps|Hypothesis testing and value proposition design|Hands-on exercises for product-market fit|Global credential for modern product leaders","The Product is Never Just the Product|Types of Products|Projects are not Products|The Product Lifecycle|The Technology Adoption Curve|Understanding the Market|Business Drivers|Using Research to Identify Product Ideas and Solutions|The Ugly Reality|The Organization Ecosystem|Crafting a Compelling Vision|Metrics that Matter for Products|Know Your Product|Understanding Customers|Idea Management at the Product Level|Outcome-Oriented Roadmaps|Design Approach|Designing Hypothesis Tests and Experiments|Iterating on Feedback from the Market|Cross-functional Teams|Teams Across the Product Lifecycle|Slicing the Product","Attend Live Sessions|Active Participate in Simulations|Receive ICP-PDM Certification","No conditional pre-requisites. Intermediate level course; participants should have some work experience in at least one agile framework.","Accredited by ICAgile. Includes ongoing assessment throughout the class and a final practical assessment to earn certification."
icp-mkg,Marketing,"ICAgile Marketing Agility (ICP-MKG) Training", "Transform Marketing for the new era","Bring agility to your marketing function with ICAgile’s ICP-MKG Certification. This course empowers marketing professionals to adopt Agile ways of working, deliver customer-centric campaigns faster, and align with business outcomes. Learn how to build adaptive marketing teams and practices that thrive in a rapidly changing market.","14 hours of immersive, live instructor-led training. Agile marketing is an approach to marketing that emphasizes flexibility, collaboration, and continuous improvement. The goal is to be more responsive to changing customer needs, more efficient in delivering value, and more effective in achieving business goals.","ICAgile|Agile Marketing|Marketing Track|Live Training|14 Hours","icp-baf|icp-pdm|icp-acc",assets/icp-mkg.png,7200,ICAgile,"Learn Agile values and frameworks tailored to marketing|Hands-on exercises for campaign agility and backlog management|Explore alignment with customer journeys and product teams|Prioritize collaboration and fast decision-making|Designed using brain-based adult learning techniques","WHY AGILITY IN MARKETING|Critical Paradigm Shifts for Marketing|Customer Analysis and Segmentation for Business Agility|IMPLEMENTING AGILITY IN MARKETING|Adaptive Planning in the Marketing Context|Teams and Teamwork in the New Paradigm|SUCCEEDING WITH AGILITY IN MARKETING|Establishing Short Work Cycles in Agile Marketing|Experimenting, Learning and Pivoting|Making it Real: Agile Marketing in Practice","Attend Live Sessions|Active Participate in Simulations|Receive ICP-MKG Certification","No conditional pre-requisites. Intermediate level course; participants should have some work experience in at least one agile framework.","Accredited by ICAgile. Includes ongoing assessment throughout the class and a final practical assessment to earn certification."
icp-ai-insights,"Artificial Intelligence","ICAgile AI for Customer Insights Micro Credential","Unlock Deep Customer Understanding with AI","Accelerate your career as a product manager, business analyst, or agile professional with AI for Customer Insights. This hands-on ICAgile micro-credential course equips you to leverage AI tools to uncover actionable patterns, anticipate customer needs, and drive decisions confidently.","3 hours of intensive, live instructor-led training. Explore how AI can deepen your understanding of customers. Gain Hands-on AI Experience applying tools to generate actionable insights and translate them into product development and customer engagement strategies while building ethical awareness.","ICAgile|AI Micro-Credential|Product Track|Live Training|3 Hours","icp-ai-discovery|icp-ai-strategy|icp-fai",assets/icp-ai-insights.png,3200,ICAgile,"Leverage AI to uncover actionable patterns and anticipate needs|Hands-on exercises with real-world datasets|Improve customer engagement and drive innovation|Learn to assess ethical risks of AI profiling|Fast-paced practical learning for immediate impact","Explore how AI deepens customer understanding|Hands-on AI Experience with case studies|Generate actionable customer insights|Translate insights into product development|Build Ethical Awareness and assess risks","Attend Live Sessions|Active Participate in Simulations|Receive ICP-AI-INSIGHTS Certification","Basic knowledge of what AI is, agile principles, values, and mindset.","Accredited by ICAgile. Includes ongoing assessment throughout the class and a final practical assessment to earn certification."
icp-ai-discovery,"Artificial Intelligence","ICAgile AI for Product Discovery Micro Credential","Discover Value Before You Build","Product discovery sets the foundation for innovation. This ICAgile micro-credential helps you leverage AI to uncover unmet customer needs, analyze behavioral patterns, and test product hypotheses faster.","3 hours of practical, live learning. This micro-credential provides hands-on experience applying AI tools to accelerate and enhance product discovery work. Use AI to analyze interviews, surveys, or support tickets to uncover opportunities and validate ideas using smarter experimentation.","ICAgile|AI Micro-Credential|Product Track|Live Training|3 Hours","icp-ai-insights|icp-ai-strategy|icp-pdm",assets/icp-ai-discovery.png,2800,ICAgile,"Uncover unmet customer needs and behavioral patterns faster|Smarter experimentation and rapid validation approaches|Reduce risks and maximize chances of success|Generate and evaluate product ideas with AI support|Create AI-enhanced discovery artifacts like prototypes","Identify Real Customer Problems|Analyze interviews and surveys with AI|Expand and Refine Ideas|Create Discovery Artifacts|Design prototypes and journey maps with AI","Attend Live Sessions|Active Participate in Simulations|Receive ICP-AI-DISCOVERY Certification","Basic knowledge of what AI is, agile principles, values, and mindset.","Accredited by ICAgile. Includes ongoing assessment throughout the class and a final practical assessment to earn certification."
icp-ai-strategy,"Artificial Intelligence","ICAgile AI for Product Strategy Micro Credential","Strategy that Learns Faster","In today’s competitive market, product strategy must be powered by data and intelligence. This ICAgile micro-credential enables you to harness AI for market analysis, customer segmentation, and strategic foresight.","3 hours of immersive, live virtual learning. Gain hands-on experience using AI to enhance core product planning and strategy. Learn to shape adaptive product strategies driven by real-time insights and integrate AI into product roadmaps to assess opportunities effectively.","ICAgile|AI Micro-Credential|Product Track|Live Training|3 Hours","icp-ai-planning|icp-ai-metrics|icp-pdm",assets/icp-ai-strategy.png,2400,ICAgile,"Harness AI for market analysis and customer segmentation|Hands-on use of AI tools for market trends and competitive analysis|Create adaptive strategies aligned with evolving needs|Generate smarter roadmaps aligned with strategic goals|Sustain business growth through AI-powered innovation","Generate Smarter Roadmaps|Strategic objectives and business goals alignment|Prioritize with Confidence|Apply AI-supported frameworks|Design Outcome-Oriented Releases","Attend Live Sessions|Active Participate in Simulations|Receive ICP-AI-STRATEGY Certification","Basic knowledge of what AI is, agile principles, values, and mindset.","Accredited by ICAgile. Includes ongoing assessment throughout the class and a final practical assessment to earn certification."
icp-ai-planning,"Artificial Intelligence","ICAgile AI for Product Planning Micro Credential","Make Plans Resilient Than Ever Before","Effective product planning requires foresight, precision, and agility. This ICAgile micro-credential focuses on leveraging AI tools for backlog prioritization, resource allocation, and delivery forecasting.","3 hours of guided, instructor-led learning. Gain practical skills to align product planning with customer expectations and optimize release cycles. Use AI to prioritize features, optimize backlogs, and gain predictive insights into resource allocation and release success.","ICAgile|AI Micro-Credential|Product Track|Live Training|3 Hours","icp-ai-strategy|icp-ai-metrics|icp-apm",assets/icp-ai-planning.png,2100,ICAgile,"Leverage AI tools for backlog prioritization and resource allocation|Optimize release cycles and reduce planning risks|Gain predictive insights into delivery success|Align planning with customer expectations|Streamline delivery plans through AI-driven insights","Generate Smarter Roadmaps|Prioritize with Confidence (RICE/MoSCoW)|Integrate human judgment with AI|Design Outcome-Oriented Releases|Trusting AI in the planning process","Attend Live Sessions|Active Participate in Simulations|Receive ICP-AI-PLANNING Certification","Basic knowledge of what AI is, agile principles, values, and mindset.","Accredited by ICAgile. Includes ongoing assessment throughout the class and a final practical assessment to earn certification."
icp-ai-metrics,"Artificial Intelligence","ICAgile AI for Product Metrics Micro Credential","From Data to Decisions, Faster","Measuring what matters is key to product success. This ICAgile micro-credential empowers you to use AI for defining, tracking, and interpreting product metrics to connect data to business outcomes.","3 hours of focused, live expert-led training. This micro-credential offers a hands-on introduction to using AI tools to identify, track, and act on product analytics. Evaluate feature success, customer impact, and usage trends using AI to evaluation performance.","ICAgile|AI Micro-Credential|Product Track|Live Training|3 Hours","icp-ai-planning|icp-ai-strategy|icp-pdm",assets/icp-ai-metrics.png,1900,ICAgile,"Define, track, and interpret product metrics using AI|Connect data-driven insights with business outcomes|Identify relevant product health and performance indicators|Evaluate feature success and usage trends with predictive analytics|Improve product performance continuously through data","Uncover Meaningful Metrics|Identify health and performance indicators|Analyze Product Outcomes|Evaluate feature success and customer impact|Drive Data-Informed Action","Attend Live Sessions|Active Participate in Simulations|Receive ICP-AI-METRICS Certification","Basic knowledge of what AI is, agile principles, values, and mindset.","Accredited by ICAgile. Includes ongoing assessment throughout the class and a final practical assessment to earn certification."
icp-ai-stakeholder,"Artificial Intelligence","ICAgile AI for Stakeholder Management Micro Credential","Transform Engagement with Stakeholders","Unlock the power of AI to transform how you engage with stakeholders. This ICAgile micro-credential equips you with the skills to analyze stakeholder needs, predict engagement challenges, and use AI tools to foster stronger relationships.","3 hours of interactive, live instructor-led training. Explore how AI can sharpen your approach to stakeholder management. Use AI to analyze stakeholders through sentiment analysis and influence mapping while balancing AI support with essential human interaction.","ICAgile|AI Micro-Credential|Product Track|Live Training|3 Hours","icp-ai-insights|icp-ai-discovery|icp-acc",assets/icp-ai-stakeholder.png,1700,ICAgile,"Analyze stakeholder needs and predict engagement challenges|AI-powered stakeholder mapping and influence analysis|Enhance collaboration, alignment, and decision-making|Design AI-assisted communication plans|Balance AI efficiency with essential human judgment","Use AI to Analyze Stakeholders|Sentiment analysis and influence mapping|Persona generation for stakeholder needs|Design AI-Assisted Communication Plans|Balance AI with Human Skills","Attend Live Sessions|Active Participate in Simulations|Receive ICP-AI-STAKEHOLDER Certification","Basic knowledge of what AI is, agile principles, values, and mindset.","Accredited by ICAgile. Includes ongoing assessment throughout the class and a final practical assessment to earn certification."
