TrainerName,TrainerBio,TrainerLinkedInURL,TrainerPhotoURL
"Nivarti Jayaram","Nivarti  is an Enterprise Agile Coach with over 15 years of experience guiding Fortune 500 companies through large-scale transformations. He specializes in leadership development, organizational design, and scaling agile frameworks. Ashish is a sought-after speaker and has trained over 5,000 executives globally.","https://www.linkedin.com/","assets/trainers/ashish.jpg"
"Mansoor Mohammed","Mansoor is a seasoned Lean-Agile trainer and consultant focused on product management and business agility. With a background in software engineering and product leadership, he helps organizations build high-performing teams and deliver products that customers love.","https://www.linkedin.com/","assets/trainers/mansoor.jpg"
"Ilija Popjanev","Ilija is an ICAgile authorized instructor with a deep passion for coaching and facilitation. He combines expertise in psychology and team dynamics to create immersive learning experiences that empower individuals to unlock their full potential.","https://www.linkedin.com/","assets/trainers/ilija.jpg"
"Ajeet Singh","Ajeet  is an Enterprise Agile Coach with over 15 years of experience guiding Fortune 500 companies through large-scale transformations. He specializes in leadership development, organizational design, and scaling agile frameworks. Ashish is a sought-after speaker and has trained over 5,000 executives globally.","https://www.linkedin.com/","assets/trainers/ashish.jpg"
"Prashant Shinde","Prashant is a seasoned Lean-Agile trainer and consultant focused on product management and business agility. With a background in software engineering and product leadership, he helps organizations build high-performing teams and deliver products that customers love.","https://www.linkedin.com/","assets/trainers/mansoor.jpg"
"Ilija Popjanev","Ilija is an ICAgile authorized instructor with a deep passion for coaching and facilitation. He combines expertise in psychology and team dynamics to create immersive learning experiences that empower individuals to unlock their full potential.","https://www.linkedin.com/","assets/trainers/ilija.jpg"
"Nivarti Jayaram","Nivarti  is an Enterprise Agile Coach with over 15 years of experience guiding Fortune 500 companies through large-scale transformations. He specializes in leadership development, organizational design, and scaling agile frameworks. Ashish is a sought-after speaker and has trained over 5,000 executives globally.","https://www.linkedin.com/","assets/trainers/ashish.jpg"
"Mansoor Mohammed","Mansoor is a seasoned Lean-Agile trainer and consultant focused on product management and business agility. With a background in software engineering and product leadership, he helps organizations build high-performing teams and deliver products that customers love.","https://www.linkedin.com/","assets/trainers/mansoor.jpg"
"Ilija Popjanev","Ilija is an ICAgile authorized instructor with a deep passion for coaching and facilitation. He combines expertise in psychology and team dynamics to create immersive learning experiences that empower individuals to unlock their full potential.","https://www.linkedin.com/","assets/trainers/ilija.jpg"
"Nivarti Jayaram","Nivarti  is an Enterprise Agile Coach with over 15 years of experience guiding Fortune 500 companies through large-scale transformations. He specializes in leadership development, organizational design, and scaling agile frameworks. Ashish is a sought-after speaker and has trained over 5,000 executives globally.","https://www.linkedin.com/","assets/trainers/ashish.jpg"
"Mansoor Mohammed","Mansoor is a seasoned Lean-Agile trainer and consultant focused on product management and business agility. With a background in software engineering and product leadership, he helps organizations build high-performing teams and deliver products that customers love.","https://www.linkedin.com/","assets/trainers/mansoor.jpg"
"Ilija Popjanev","Ilija is an ICAgile authorized instructor with a deep passion for coaching and facilitation. He combines expertise in psychology and team dynamics to create immersive learning experiences that empower individuals to unlock their full potential.","https://www.linkedin.com/","assets/trainers/ilija.jpg"
"Nivarti Jayaram","Nivarti  is an Enterprise Agile Coach with over 15 years of experience guiding Fortune 500 companies through large-scale transformations. He specializes in leadership development, organizational design, and scaling agile frameworks. Ashish is a sought-after speaker and has trained over 5,000 executives globally.","https://www.linkedin.com/","assets/trainers/ashish.jpg"
"Mansoor Mohammed","Mansoor is a seasoned Lean-Agile trainer and consultant focused on product management and business agility. With a background in software engineering and product leadership, he helps organizations build high-performing teams and deliver products that customers love.","https://www.linkedin.com/","assets/trainers/mansoor.jpg"
"Ilija Popjanev","Ilija is an ICAgile authorized instructor with a deep passion for coaching and facilitation. He combines expertise in psychology and team dynamics to create immersive learning experiences that empower individuals to unlock their full potential.","https://www.linkedin.com/","assets/trainers/ilija.jpg"
"Nivarti Jayaram","Nivarti  is an Enterprise Agile Coach with over 15 years of experience guiding Fortune 500 companies through large-scale transformations. He specializes in leadership development, organizational design, and scaling agile frameworks. Ashish is a sought-after speaker and has trained over 5,000 executives globally.","https://www.linkedin.com/","assets/trainers/ashish.jpg"
"Mansoor Mohammed","Mansoor is a seasoned Lean-Agile trainer and consultant focused on product management and business agility. With a background in software engineering and product leadership, he helps organizations build high-performing teams and deliver products that customers love.","https://www.linkedin.com/","assets/trainers/mansoor.jpg"
"Ilija Popjanev","Ilija is an ICAgile authorized instructor with a deep passion for coaching and facilitation. He combines expertise in psychology and team dynamics to create immersive learning experiences that empower individuals to unlock their full potential.","https://www.linkedin.com/","assets/trainers/ilija.jpg"
